,CroppedImage,Full_Image,Set
0,lat_-0.37512_lon_39.63415.npz.npy,lat_-0.37512_lon_39.63415.npy,Train
1,lat_-0.91373_lon_36.33485.npz.npy,lat_-0.91373_lon_36.33485.npy,Train
2,lat_-0.93470_lon_100.43239.npz.npy,lat_-0.93470_lon_100.43239.npy,Train
3,lat_-0.95494_lon_100.47265.npz.npy,lat_-0.95494_lon_100.47265.npy,Train
4,lat_-1.03601_lon_100.41231.npz.npy,lat_-1.03601_lon_100.41231.npy,Train
5,lat_-1.05546_lon_36.35485.npz.npy,lat_-1.05546_lon_36.35485.npy,Train
6,lat_-1.05598_lon_37.05895.npz.npy,lat_-1.05598_lon_37.05895.npy,Train
7,lat_-1.07570_lon_36.35483.npz.npy,lat_-1.07570_lon_36.35483.npy,Train
8,lat_-1.07654_lon_100.37207.npz.npy,lat_-1.07654_lon_100.37207.npy,Train
9,lat_-1.17724_lon_36.71682.npz.npy,lat_-1.17724_lon_36.71682.npy,Train
10,lat_-1.17742_lon_36.93814.npz.npy,lat_-1.17742_lon_36.93814.npy,Train
11,lat_-1.21789_lon_36.89787.npz.npy,lat_-1.21789_lon_36.89787.npy,Train
12,lat_-1.25840_lon_36.89784.npz.npy,lat_-1.25840_lon_36.89784.npy,Train
13,lat_-1.25841_lon_36.91796.npz.npy,lat_-1.25841_lon_36.91796.npy,Train
14,lat_-1.33912_lon_36.59597.npz.npy,lat_-1.33912_lon_36.59597.npy,Train
15,lat_-1.33939_lon_36.87765.npz.npy,lat_-1.33939_lon_36.87765.npy,Train
16,lat_-1.46097_lon_36.95803.npz.npy,lat_-1.46097_lon_36.95803.npy,Train
17,lat_-1.66383_lon_100.69451.npz.npy,lat_-1.66383_lon_100.69451.npy,Train
18,lat_-1.76463_lon_36.83697.npz.npy,lat_-1.76463_lon_36.83697.npy,Train
19,lat_-10.10184_lon_123.88938.npz.npy,lat_-10.10184_lon_123.88938.npy,Train
20,lat_-10.10291_lon_-45.28929.npz.npy,lat_-10.10291_lon_-45.28929.npy,Train
21,lat_-10.20378_lon_123.60336.npz.npy,lat_-10.20378_lon_123.60336.npy,Train
22,lat_-10.21961_lon_-37.19730.npz.npy,lat_-10.21961_lon_-37.19730.npy,Train
23,lat_-10.48285_lon_-37.19579.npz.npy,lat_-10.48285_lon_-37.19579.npy,Train
