CroppedImage,Full_Image,Set
lat_-0.37512_lon_39.63415.npz.npy,lat_-0.37512_lon_39.63415.npz,Train
lat_-0.91373_lon_36.33485.npz.npy,lat_-0.91373_lon_36.33485.npz,Train
lat_-0.93470_lon_100.43239.npz.npy,lat_-0.93470_lon_100.43239.npz,Train
lat_-0.95494_lon_100.47265.npz.npy,lat_-0.95494_lon_100.47265.npz,Train
lat_-1.03601_lon_100.41231.npz.npy,lat_-1.03601_lon_100.41231.npz,Train
lat_-1.05546_lon_36.35485.npz.npy,lat_-1.05546_lon_36.35485.npz,Train
lat_-1.05598_lon_37.05895.npz.npy,lat_-1.05598_lon_37.05895.npz,Train
lat_-1.07570_lon_36.35483.npz.npy,lat_-1.07570_lon_36.35483.npz,Train
lat_-1.07654_lon_100.37207.npz.npy,lat_-1.07654_lon_100.37207.npz,Train
lat_-1.17724_lon_36.71682.npz.npy,lat_-1.17724_lon_36.71682.npz,Train
lat_-1.17742_lon_36.93814.npz.npy,lat_-1.17742_lon_36.93814.npz,Train
lat_-1.21789_lon_36.89787.npz.npy,lat_-1.21789_lon_36.89787.npz,Train
lat_-1.25840_lon_36.89784.npz.npy,lat_-1.25840_lon_36.89784.npz,Train
lat_-1.25841_lon_36.91796.npz.npy,lat_-1.25841_lon_36.91796.npz,Train
lat_-1.33912_lon_36.59597.npz.npy,lat_-1.33912_lon_36.59597.npz,Train
lat_-1.33939_lon_36.87765.npz.npy,lat_-1.33939_lon_36.87765.npz,Train
lat_-1.46097_lon_36.95803.npz.npy,lat_-1.46097_lon_36.95803.npz,Train
lat_-1.66383_lon_100.69451.npz.npy,lat_-1.66383_lon_100.69451.npz,Train
lat_-1.76463_lon_36.83697.npz.npy,lat_-1.76463_lon_36.83697.npz,Train
lat_-10.10184_lon_123.88938.npz.npy,lat_-10.10184_lon_123.88938.npz,Train
lat_-10.10291_lon_-45.28929.npz.npy,lat_-10.10291_lon_-45.28929.npz,Train
lat_-10.20378_lon_123.60336.npz.npy,lat_-10.20378_lon_123.60336.npz,Train
lat_-10.21961_lon_-37.19730.npz.npy,lat_-10.21961_lon_-37.19730.npz,Train
lat_-10.48285_lon_-37.19579.npz.npy,lat_-10.48285_lon_-37.19579.npz,Train
lat_-10.66652_lon_-37.46088.npz.npy,lat_-10.66652_lon_-37.46088.npz,Train
lat_-10.86383_lon_-61.89017.npz.npy,lat_-10.86383_lon_-61.89017.npz,Train
lat_-10.95724_lon_-42.54504.npz.npy,lat_-10.95724_lon_-42.54504.npz,Train
lat_-11.02778_lon_-68.72312.npz.npy,lat_-11.02778_lon_-68.72312.npz,Train
lat_-11.14054_lon_-42.68700.npz.npy,lat_-11.14054_lon_-42.68700.npz,Train
lat_-11.28207_lon_-42.66536.npz.npy,lat_-11.28207_lon_-42.66536.npz,Train
lat_-11.28616_lon_-58.73972.npz.npy,lat_-11.28616_lon_-58.73972.npz,Train
lat_-11.71410_lon_-61.78413.npz.npy,lat_-11.71410_lon_-61.78413.npz,Train
lat_-11.88761_lon_-55.53661.npz.npy,lat_-11.88761_lon_-55.53661.npz,Train
lat_-11.94825_lon_-55.51572.npz.npy,lat_-11.94825_lon_-55.51572.npz,Train
lat_-11.98875_lon_-55.51550.npz.npy,lat_-11.98875_lon_-55.51550.npz,Train
